허가일자,상호,설비용량(KW),설치행정시,설치지역,원동력종류,사업개시일,구분,데이터기준일자
2012.6.25,남제주화력 소내 태양광발전소,196,서귀포시,안덕면,태양광,2012.6.28,없음,2020.1.20
2014.4.4,넥스트솔라,96.72,제주시,용담이동,태양광,2014.7.15,없음,2020.1.20
2014.11.20,녹색 태양광발전소,98,서귀포시,성산읍,태양광,2018.12.31,없음,2020.1.20
2012.11.27,농업회사법인 주식회사 한라산 바이오,500,서귀포시,안덕면,바이오가스,2015.5.1,없음,2020.1.20
2018.6.28,누리 태양광발전소,148.92,서귀포시,성산읍,태양광,2019.1.21,육상,2020.1.20
2014.5.26,뉴럴태양광발전소,40,서귀포시,대정읍,태양광,2015.1.21,없음,2020.1.20
2014.4.7,다니엘태양광발전소,496,서귀포시,남원읍,태양광,2017.4.21,없음,2020.1.20
2012.11.8,다담1호 태양광 발전소,99,제주시,조천읍,태양광,2013.3.5,없음,2020.1.20
2013.4.12,다담2호 태양광발전소,75,제주시,조천읍,태양광,2014.10.10,없음,2020.1.20
2017.3.21,다담3호 태양광발전소,99.06,제주시,회천동,태양광,2019.12.1,없음,2020.1.20
2019.8.2,다담4호 태양광발전소,99.06,제주시,회천동,태양광,2019.12.1,육상,2020.1.20
2018.12.5,다람 태양광발전소,201.28,제주시,애월읍,태양광,2019.8.6,육상,2020.1.20
2018.3.26,다사랑태양광발전소,59.84,제주시,한경면,태양광,2018.12.20,육상,2020.1.20
2013.4.24,다온태양광발전소,40.48,서귀포시,안덕면,태양광,2014.3.21,없음,2020.1.20
2013.3.7,다원태양광,96.8,제주시,한림읍,태양광,2014.5.9,없음,2020.1.20
2014.6.30,닥모루태양광발전소,99,제주시,한경면,태양광,2015.4.21,없음,2020.1.20
2014.12.14,대광태양광,99,서귀포시,대정읍,태양광,2015.9.2,없음,2020.1.20
2017.11.22,대동솔라 태양광발전소,495.72,서귀포시,표선면,태양광,2019.3.4,육상,2020.1.20
2012.9.27,대동태양광발전소,750,서귀포시,표선면,태양광,2013.4.18,없음,2020.1.20
2017.4.5,대림1호 태양광발전소,99.28,제주시,한림읍,태양광,2017.9.13,육상,2020.1.20
2008.1.10,대명쏠라파크주식회사,194.4,서귀포시,표선면,태양광,2009.8.28,없음,2020.1.20
2014.11.7,대정읍 보성리 1503발전소,90,서귀포시,대정읍,태양광,2015.5.20,없음,2020.1.20
2014.12.5,대정읍 보성리 581-1발전소,99,서귀포시,대정읍,태양광,2015.6.19,없음,2020.1.20
2014.12.4,대정읍 보성리 581발전소,90,서귀포시,대정읍,태양광,2015.6.19,없음,2020.1.20
